학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,학교대표번호,학교대표팩스번호
대학,32,한국체육대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,韩国体育大学,Korea National Sport University,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) ","1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea","1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea",5541,1976-12-30,www.knsu.ac.kr/,안용규,02-410-6700,02-418-1877
대학,33,한국해양대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,韩国海洋大学,National Korea Maritime & Ocean University,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교) ","727, Taejong-ro, Yeongdo-gu, Busan, Republic of Korea","727, Taejong-ro, Yeongdo-gu, Busan, Republic of Korea",49112,1945-11-05,www.kmou.ac.kr,도덕희,051-410-4114,051-405-2475
대학,34,한국교통대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,韩国交通大学校,Korea National University Of Transportation,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교) ","50, Daehak-ro, Daesowon-myeon, Chungju-si, Chungcheongbuk-do, Republic of Korea","50, Daehak-ro, Daesowon-myeon, Chungju-si, Chungcheongbuk-do, Republic of Korea",27469,1914-04-01,www.ut.ac.kr,박준훈,043-841-5000,043-853-1236
대학,35,경남과학기술대학교,본교,대학교,경남,국립,고등교육법,해당없음,폐교,庆南科学技术大学校,Gyeongnam National University Of Science And Technology,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교) ","33, Dongjin-ro, Jinju-si, Gyeongsangnam-do, Republic of Korea","33, Dongjin-ro, Jinju-si, Gyeongsangnam-do, Republic of Korea",52725,1910-04-30,www.gntech.ac.kr,김남경,055-751-3114,055-752-9554
대학,36,서울과학기술대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,首尔科学技术大学,Seoul National University Of Science And Technology,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) ","232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea","232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea",1811,2012-03-01,www.seoultech.ac.kr,이동훈,02-970-6114,02-970-6088
대학,37,한경대학교,본교,대학교,경기,국립,고등교육법,해당없음,기존,韩京大学校,Hankyong National University,"경기도 안성시 중앙로 327 (석정동, 한경대학교) ","327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea","327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea",17579,2012-03-01,www.hknu.ac.kr,이원희,031-670-5114,031-670-5469
대학,39,한밭대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,韩巴大学,Hanbat National University,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교) ","125, Dongseo-daero, Yuseong-gu, Daejeon, Republic of Korea","125, Dongseo-daero, Yuseong-gu, Daejeon, Republic of Korea",34158,2012-03-01,www.hanbat.ac.kr,최병욱,042-821-1114,042-825-5395
대학,40,서울시립대학교,본교,대학교,서울,공립,고등교육법,해당없음,기존,首尔市立大学校,University Of Seoul,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) ","163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea","163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2504,1918-05-01,www.uos.ac.kr,서순탁,02-6490-6114,02-6490-6439
대학,46,가톨릭대학교,본교,대학교,경기,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정) ","43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea","43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea",14662,1995-03-01,www.catholic.ac.kr,원종철,02-2164-4114,02-2164-4754
대학,48,가톨릭대학교,제2캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정) ","222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea","222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea",6591,1995-03-01,www.catholic.ac.kr,원종철,02-2258-7114,02-533-4362
대학,49,가톨릭대학교,제3캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정) ","296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea","296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea",3083,1995-03-01,www.catholic.ac.kr,원종철,02-740-9705,02-741-2801
대학,50,감리교신학대학교,본교,대학교,서울,사립,고등교육법,감리교신학원,기존,监理教神学大学,Methodist Theological University,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) ","56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea","56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea",3745,1887-09-29,www.mtu.ac.kr,이후정,02-361-9257,02-361-9006
대학,51,강남대학교,본교,대학교,경기,사립,고등교육법,강남학원,기존,江南大学校,Kangnam University,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) ","40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea","40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea",16979,1948-08-12,www.kangnam.ac.kr,윤신일,031-280-3500,031-280-3173
대학,52,건국대학교,본교,대학교,서울,사립,고등교육법,건국대학교,기존,建国大学,Konkuk University,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ","120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea","120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea",5029,1931-05-15,www.konkuk.ac.kr,전영재,02-450-3114,02-450-3179
대학,53,건국대학교(글로컬),분교,대학교,충북,사립,고등교육법,건국대학교,기존,建国大学,Konkuk University,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) ","268, Chungwon-daero, Chungju-si, Chungcheongbuk-do, Republic of Korea","268, Chungwon-daero, Chungju-si, Chungcheongbuk-do, Republic of Korea",27478,1980-01-05,www.kku.ac.kr,전영재,043-840-3114,043-851-9356
대학,54,건양대학교,본교,대학교,충남,사립,고등교육법,학교법인 건양교육재단,기존,建阳大学校,Konyang University,"충청남도 논산시 대학로 121 (내동, 건양대학교) ","121, Daehak-ro, Nonsan-si, Chungcheongnam-do, Republic of Korea","121, Daehak-ro, Nonsan-si, Chungcheongnam-do, Republic of Korea",32992,1990-11-28,www.konyang.ac.kr,이철성,041-730-5114,041-733-2070
대학,55,건양대학교,제2캠퍼스,대학교,대전,사립,고등교육법,학교법인 건양교육재단,기존,建阳大学校,Konyang University,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) ","158, Gwanjeodong-ro, Seo-gu, Daejeon, Republic of Korea","158, Gwanjeodong-ro, Seo-gu, Daejeon, Republic of Korea",35365,1990-11-28,www.konyang.ac.kr,이철성,041-730-5114,041-733-2070
대학,56,경기대학교,본교,대학교,경기,사립,고등교육법,경기학원,기존,京畿大学校,Kyonggi University,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ","154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea","154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16227,1947-11-08,www.kyonggi.ac.kr,전준철(직무대행),031-249-9114,031-243-2194
대학,58,경기대학교,제2캠퍼스,대학교,서울,사립,고등교육법,경기학원,기존,京畿大学校,Kyonggi University,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ","24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea","24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea",3746,1947-11-08,www.kyonggi.ac.kr,김인규,031-249-8711,031-249-8718
대학,59,경남대학교,본교,대학교,경남,사립,고등교육법,한마학원,기존,庆南大学校,Kyungnam University,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) ","7, Gyeongnamdaehak-ro, Masanhappo-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea","7, Gyeongnamdaehak-ro, Masanhappo-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",51767,1946-12-27,www.kyungnam.ac.kr,박재규,055-245-5000,055-246-6184
대학,60,경동대학교,본교,대학교,강원,사립,고등교육법,경동대학교,기존,京东大学校,Kyungdong University,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교) ","46, Bongpo 4-gil, Toseong-myeon, Goseong-gun, Gangwon-do, Republic of Korea","46, Bongpo 4-gil, Toseong-myeon, Goseong-gun, Gangwon-do, Republic of Korea",24764,1997-03-01,www.kduniv.ac.kr,전성용,033-631-2000,033-631-9542
대학,61,대구한의대학교,본교,대학교,경북,사립,고등교육법,제한학원,기존,大邱韩医大学,Daegu Haany University,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교) ","1, Hanuidae-ro, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea","1, Hanuidae-ro, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea",38610,1980-12-29,www.dhu.ac.kr,변창훈,053-819-1000,053-819-1258
대학,62,경성대학교,본교,대학교,부산,사립,고등교육법,한성(韓星)학원,기존,庆星大学校,Kyungsung University,"부산광역시 남구 수영로 309 (대연동, 경성대학교) ","309, Suyeong-ro, Nam-gu, Busan, Republic of Korea","309, Suyeong-ro, Nam-gu, Busan, Republic of Korea",48434,1963-01-28,ks.ac.kr,송수건,051-663-4114,051-663-4089
대학,63,가천대학교,본교,대학교,경기,사립,고등교육법,가천학원,기존,嘉泉大学校,Gachon University,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교) ","1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13120,2012-03-01,www.gachon.ac.kr,이길여,031-750-5114,031-753-8828
대학,64,경일대학교,본교,대학교,경북,사립,고등교육법,일청학원,기존,庆一大学,Kyungil University,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교) ","50, Gamasil-gil, Hayang-eup, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea","50, Gamasil-gil, Hayang-eup, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea",38428,1996-12-11,www.kiu.ac.kr,정현태,053-600-4000,053-600-4020
대학,65,경주대학교,본교,대학교,경북,사립,고등교육법,원석학원,기존,庆州大学校,Gyeongju University,"경상북도 경주시 태종로 188 (효현동, 경주대학교) ","188, Taejong-ro, Gyeongju-si, Gyeongsangbuk-do, Republic of Korea","188, Taejong-ro, Gyeongju-si, Gyeongsangbuk-do, Republic of Korea",38065,1987-12-12,www.gju.ac.kr,김기석,054-770-5114,054-748-2784
대학,66,경희대학교,본교,대학교,서울,사립,고등교육법,경희학원,기존,庆熙大学校,Kyung Hee University,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) ","26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea","26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2447,1951-05-18,www.khu.ac.kr,한균태,02-961-0114,02-961-0930
대학,68,계명대학교,본교,대학교,대구,사립,고등교육법,계명대학교,기존,启明大学,Keimyung University,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스) ","1095, Dalgubeol-daero, Dalseo-gu, Daegu, Republic of Korea","1095, Dalgubeol-daero, Dalseo-gu, Daegu, Republic of Korea",42601,1954-05-20,www.kmu.ac.kr,신일희,053-580-5114,053-580-5454
대학,69,고려대학교,본교,대학교,서울,사립,고등교육법,고려중앙학원,기존,高丽大学,Korea University,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) ","145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea","145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea",2841,1905-05-05,www.korea.ac.kr,정진택,02-3290-1114,02-928-9102
대학,70,고려대학교(세종),분교,대학교,세종,사립,고등교육법,고려중앙학원,기존,高丽大学 世宗校区,Korea University Sejong Campus,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) ","2511, Sejong-ro, Jochiwon-eup, Sejong-si, Republic of Korea","2511, Sejong-ro, Jochiwon-eup, Sejong-si, Republic of Korea",30019,1980-03-02,sejong.korea.ac.kr,정진택,044-860-1114,044-860-1048
대학,71,고신대학교,본교,대학교,부산,사립,고등교육법,대한예수교장로회총회고려학원,기존,高神大学,Kosin University,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교) ","194, Wachi-ro, Yeongdo-gu, Busan, Republic of Korea","194, Wachi-ro, Yeongdo-gu, Busan, Republic of Korea",49104,1946-09-20,www.kosin.ac.kr,안  민,051-990-2114,051-911-2525
대학,72,가톨릭관동대학교,본교,대학교,강원,사립,고등교육법,인천가톨릭학원,기존,加图立关东大学,Catholic Kwandong University,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교) ","24, Beomil-ro 579beon-gil, Gangneung-si, Gangwon-do, Republic of Korea","24, Beomil-ro 579beon-gil, Gangneung-si, Gangwon-do, Republic of Korea",25601,1955-04-26,www.cku.ac.kr,김덕현,033-649-7114,033-649-7874
대학,73,광신대학교,본교,대학교,광주,사립,고등교육법,광신학원,기존,光神大学校,Kwangshin University,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교) ","36, Yangsantaekjiso-ro, Buk-gu, Gwangju, Republic of Korea","36, Yangsantaekjiso-ro, Buk-gu, Gwangju, Republic of Korea",61027,1996-12-11,www.kwangshin.ac.kr,김경윤,062-605-1004,062-571-7255
대학,74,광운대학교,본교,대학교,서울,사립,고등교육법,광운학원,기존,光云大学,Kwangwoon University,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ","20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea","20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea",1897,1934-05-20,www.kw.ac.kr,김종헌,02-940-5026,02-917-0896
대학,75,광주가톨릭대학교,본교,대학교,전남,사립,고등교육법,대건학당,기존,光州天主教大学 ,Gwangju Catholic University,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교) ","12-25, Jungnam-gil, Nampyeong-eup, Naju-si, Jeollanam-do, Republic of Korea","12-25, Jungnam-gil, Nampyeong-eup, Naju-si, Jeollanam-do, Republic of Korea",58230,1965-01-13,www.gjcatholic.ac.kr,김혁태,061-337-2181,061-337-2185
대학,76,광주여자대학교,본교,대학교,광주,사립,고등교육법,송강학원,기존,光州女子大学,Kwangju Women'S University,광주광역시 광산구 광주여대길 40 (산정동) ,"40, Gwangjuyeodae-gil, Gwangsan-gu, Gwangju","40, Gwangjuyeodae-gil, Gwangsan-gu, Gwangju",62396,1997-03-03,www.kwu.ac.kr,이선재,062-956-2500,062-953-2218
대학,78,국민대학교,본교,대학교,서울,사립,고등교육법,국민학원,기존,国民大学,Kookmin University,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) ","77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea","77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea",2707,1946-09-01,www.kookmin.ac.kr,임홍재,02-910-4114,02-910-4169
대학,79,케이씨대학교,본교,대학교,서울,사립,고등교육법,한국그리스도의교회학원,기존,KC大学(韩国基督教大学),Kc University,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) ","47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea","47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea",7661,1958-04-19,kcu.ac.kr,김용재,02-2600-2400,02-2698-8876
대학,80,극동대학교,본교,대학교,충북,사립,고등교육법,일현학원,기존,极东大学校,Far East University,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교) ","76-32, Daehak-gil, Gamgok-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea","76-32, Daehak-gil, Gamgok-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",27601,1997-12-05,www.kdu.ac.kr,류기일,043-879-3500,043-879-3519
대학,81,나사렛대학교,본교,대학교,충남,사립,고등교육법,나사렛학원,기존,拿撒勒大学,Korea Nazarene University,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교) ","48, Wolbong-ro, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea","48, Wolbong-ro, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",31172,1954-09-14,www.kornu.ac.kr,KIM DAVID KYUNGSOO,041-570-7871,041-570-7725
